question_id,question_fa,question_en,gold_answer,question_mode,sheet_name
1,کدام‌یک از موارد زیر فیلمی به کارگردانی اصغر فرهادی است؟ الف) قهرمان ب) بچه‌های آسمان ج) طعم گیلاس د) رنگ خدا,Which of the following movies was directed by Asghar Farhadi? A) A Hero B) Children of Heaven C) Taste of Cherry D) The Color of Paradise,A,MCQ,Atomic-MCQ
2,کدام‌یک از موارد زیر فیلمی با بازی شهاب حسینی است؟ الف) فروشنده ب) بادیگارد ج) آژانس شیشه‌ای د) ارتفاع پست,Which of the following films features Shahab Hosseini? A) The Salesman B) Bodyguard C) The Glass Agency D) Low Heights,A,MCQ,Atomic-MCQ
3,کدام‌یک از موارد زیر فیلمی با بازی گلشیفته فراهانی است؟ الف) درباره الی ب) ابد و یک روز ج) لانتوری د) شهرزاد,Which of the following films features Golshifteh Farahani? A) About Elly B) Life and a Day C) Lantouri D) Shahrzad,A,MCQ,Atomic-MCQ
4,کدام‌یک از موارد زیر از بازیگران فیلم آژانس شیشه‌ای است؟ الف) پرویز پرستویی ب) بهرام رادان ج) محمدرضا گلزار د) پژمان جمشیدی,Which of the following is an actor in The Glass Agency? A) Parviz Parastui B) Bahram Radan C) Mohammad Reza Golzar D) Pejman Jamshidi,A,MCQ,Atomic-MCQ
5,کدام‌یک از موارد زیر از بازیگران فیلم درباره الی است؟ الف) ترانه علیدوستی ب) هدیه تهرانی ج) نیکی کریمی د) مهناز افشار,Which of the following is an actor in About Elly? A) Taraneh Alidoosti B) Hediyeh Tehrani C) Niki Karimi D) Mahnaz Afshar,A,MCQ,Atomic-MCQ
6,کدام‌یک از موارد زیر از بازیگران فیلم جدایی نادر از سیمین است؟ الف) لیلا حاتمی ب) گلشیفته فراهانی ج) فاطمه معتمدآریا د) ویشکا آسایش,Which of the following is an actor in A Separation? A) Leila Hatami B) Golshifteh Farahani C) Fatemeh Motamed-Arya D) Vishka Asayesh,A,MCQ,Atomic-MCQ
7,کدام‌یک از موارد زیر از مراکز استان‌های ایران است؟ الف) تبریز ب) کاشان ج) چابهار د) کیش,Which of the following cities is a provincial capital in Iran? A) Tabriz B) Kashan C) Chabahar D) Kish,A,MCQ,Atomic-MCQ
8,کدام‌یک از شهرهای زیر در ایران دارای حداقل یک دانشگاه است؟ الف) تهران ب) ابیانه ج) ماسوله د) کندوان,Which of the following cities in Iran has at least one university? A) Tehran B) Abyaneh C) Masuleh D) Kandovan,A,MCQ,Atomic-MCQ
9,کدام‌یک از شهرهای زیر در ایران دارای حداقل یک موزه است؟ الف) اصفهان ب) چمستان ج) سرخرود د) کلاردشت,Which of the following cities in Iran has at least one museum? A) Isfahan B) Chamestan C) Sorkhrood D) Kelardasht,A,MCQ,Atomic-MCQ
10,کدام‌یک از رودخانه‌های زیر در ایران طولی بیش از ۱۰۰ کیلومتر دارد؟ الف) کارون ب) رود دربند ج) رود گلابر د) رود لاویج,Which of the following rivers in Iran has a length greater than 100 km? A) Karun River B) Darband River C) Golabar River D) Lavij River,A,MCQ,Atomic-MCQ
11,کدام‌یک از کوه‌های زیر در ایران ارتفاعی بیش از ۴۰۰۰ متر دارد؟ الف) دماوند ب) الوند ج) بینالود د) توچال,"Which of the following mountains in Iran is higher than 4,000 meters?  A) Damavand B) Alvand C) Binalud D) Tochal",A,MCQ,Atomic-MCQ
12,کدام‌یک از رودها یا کوه‌های زیر در استان مازندران واقع شده است؟ الف) رود هراز ب) زاینده‌رود ج) رود کارون د) کوه سهند,Which of the following rivers or mountains is located in Mazandaran Province? A) Haraz River B) Zayandeh River C) Karun River D) Mount Sahand,A,MCQ,Atomic-MCQ
13,کدام‌یک از موارد زیر از رمان‌نویسان زن ایرانی است؟ الف) سیمین دانشور ب) پروین اعتصامی ج) فروغ فرخزاد د) سیمین بهبهانی,Which of the following are Iranian women novelists? A) Simin Daneshvar B) Parvin Etesami C) Forough Farrokhzad D) Simin Behbahani,A,MCQ,Atomic-MCQ
14,کدام‌یک از رمان‌نویسان ایرانی زیر پس از سال ۱۹۷۰ میلادی متولد شده است؟ الف) عالیه عطایی ب) سیمین دانشور ج) غلامحسین ساعدی د) صادق هدایت,Which of the following Iranian novelists was born after 1970 AD? A) Aliyeh Ataei B) Simin Daneshvar C) Gholam-Hossein Sa'edi D) Sadegh Hedayat,A,MCQ,Atomic-MCQ
15,کدام‌یک از شاعران ایرانی زیر پس از سال ۱۹۸۰ میلادی متولد شده است؟ الف) هیلا صدیقی ب) احمد شاملو ج) سهراب سپهری د) مهدی اخوان ثالث,Which of the following Iranian poets was born after 1980? A) Hila Sedighi B) Ahmad Shamlou C) Sohrab Sepehri D) Mehdi Akhavan-Sales,A,MCQ,Atomic-MCQ
16,کدام‌یک از موارد زیر از برج‌های دیدبانی واقع در ایران است؟ الف) برج آزادی ب) برج میلاد ج) برج طغرل د) گنبد قابوس,Which of the following is an observation tower located in Iran? A) Azadi Tower B) Milad Tower C) Toghrol Tower D) Gonbad-e Qabus,B,MCQ,Atomic-MCQ
17,کدام‌یک از موارد زیر از برج‌های مخابراتی واقع در ایران است؟ الف) برج شیطور ب) برج گرگان ج) برج مرجان د) برج زرافشان,Which of the following is a communication tower located in Iran? A) Sheytur Tower B) Gorgan Tower C) Marjan Tower D) Zarafshan Tower,B,MCQ,Atomic-MCQ
18,کدام‌یک از موارد زیر قربانگاهی واقع در ایران است؟ الف) ارگ بم ب) نقش‌برجسته کورانگون ج) آرامگاه کوروش د) کاخ گلستان,Which of the following is an altar located in Iran? A) Arg-e Bam B) Relief of Kurangun C) Tomb of Cyrus D) Golestan Palace,B,MCQ,Atomic-MCQ
19,کدام‌یک از موارد زیر از آثار معماری شاخص واقع در ایران است؟ الف) فرودگاه مهرآباد ب) تخت جمشید ج) متروی تهران د) بیمارستان میلاد,Which of the following is a notable architectural work located in Iran? A) Mehrabad Airport B) Persepolis C) Tehran Metro D) Milad Hospital,B,MCQ,Atomic-MCQ
20,کدام‌یک از موارد زیر از موزه‌های ملی واقع در ایران است؟ الف) موزهٔ آبگینه ایران ب) موزه فرش ایران ج) موزه هنرهای معاصر اصفهان د) موزه ی هنرهای تزئینی اصفهان,Which of the following is a national museum located in Iran? A) Abgineh Museum of Tehran B) Carpet Museum of Iran C) Isfahan Museum of Contemporary Art D) Isfahan Museum of Decorative Arts,B,MCQ,Atomic-MCQ
21,کدام‌یک از موارد زیر از موزه‌های هنری واقع در ایران است؟ الف) موزه فرش ایران ب) موزهٔ آبگینه ایران ج) مجموعه قصر نیاوران د) موزه رضا عباسی,Which of the following is an art museum located in Iran? A) Carpet Museum of Iran B) Abgineh Museum C) Niavaran Palace Complex D) Reza Abbasi Museum,B,MCQ,Atomic-MCQ
22,کدام‌یک از موارد زیر از کتابخانه‌های ملی واقع در ایران است؟ الف) کتابخانه دانشگاه تهران ب) کتابخانه ملی ایران ج) کتابخانه مرکزی استان قدس رضوی د) کتابخانه صدا و سیما ملی,Which of the following is a national library located in Iran? A) Tehran University Library B) National Library of Iran C) Central Library of Astan Quds Razavi D) National Broadcasting Library,B,MCQ,Atomic-MCQ
23,کدام‌یک از موارد زیر از آرشیوهای ملی واقع در ایران است؟ الف) موزه پست ب) سازمان اسناد و کتابخانه ملی ایران ج) موزه سینما د) موزه سکه,Which of the following is a national archive located in Iran? A) Post Museum B) National Archives of Iran C) Cinema Museum D) Coin Museum,B,MCQ,Atomic-MCQ
24,کدام‌یک از موارد زیر از تعطیلات رسمی در ایران است؟ الف) شب یلدا ب) روز جمهوری اسلامی ج) چهارشنبه سوری د) روز دانشجو,Which of the following is an official public holiday in Iran? A) Yalda Night B) Islamic Republic Day C) Chaharshanbe Suri D) Student Day,B,MCQ,Atomic-MCQ
25,کدام‌یک از موارد زیر از مناسبت‌های سنتی شاخص در ایران است؟ الف) روز کارگر ب) چهارشنبه‌سوری ج) روز پرستار د) روز معلم,Which of the following is a major traditional occasion in Iran? A) Labor Day B) Chaharshanbe Suri C) Nurse Day D) Teacher's Day,B,MCQ,Atomic-MCQ
26,کدام‌یک از موارد زیر از روزهای ملی در ایران است؟ الف) روز مالیات ب) روز فناوری هسته‌ای ج) روز بیمه د) روز درخت کاری,Which of the following is a national day in Iran? A) Tax Day B) Nuclear Technology Day C) Insurance Day D) Arbor Day,B,MCQ,Atomic-MCQ
27,کدام‌یک از روزهای بین‌المللی تعیین‌شده توسط سازمان ملل در ایران برگزار می‌شود؟ الف) سیزده به در ب) نوروز ج) روز حافظ د) اربعین,Which of the following United Nations designated international days are observed in Iran? A) Sizdah Be-dar B) Novruz C) Hafez Day D) Arbaeen,B,MCQ,Atomic-MCQ
28,کدام‌یک از جشنواره‌های زیر در ایران برگزار می‌شود؟ الف) جشنواره کن ب) جشنواره بین‌المللی فیلم فجر ج) جشنواره اسکار د) جشنواره برلین,Which of the following festivals is held in Iran? A) Cannes Festival B) Fajr International Film Festival C) Oscars D) Berlinale,B,MCQ,Atomic-MCQ
29,کدام‌یک از موارد زیر از شهرهای باستانی واقع در ایران است؟ الف) کرج ب) شوش ج) اراک د) ایلام,Which of the following is an ancient city located in Iran? A) Karaj B) Susa C) Arak D) Ilam,B,MCQ,Atomic-MCQ
30,کدام‌یک موارد زیر کاخی در ایران است؟ الف) برج میلاد ب) چهل ستون ج) پل طبیعت د) برج آزادی,Which of the following is a palace located in Iran? A) Milad Tower B) Chehel Sotun C) Tabiat Bridge D) Azadi Tower,B,MCQ,Atomic-MCQ
31,کدام‌یک از موارد زیر در فهرست میراث جهانی یونسکو در ایران قرار دارد؟ الف) برج میلاد ب) برج آزادی ج) تخت جمشید د) مجموعه توچال,Which of the following is a UNESCO World Heritage Site in Iran? A) Milad Tower B) Azadi Tower C) Persepolis D) Tochal Complex,C,MCQ,Atomic-MCQ
32,کدام‌یک از موارد زیر از پل‌های سنگی موجود در ایران است؟ الف) پل طبیعت ب) پل جوادیه ج) پل خواجو د) پل قطور,Which of the following is a stone bridge located in Iran? A) Tabiat Bridge B) Javadieh Bridge C) Khaju Bridge D) Ghotour Bridge,C,MCQ,Atomic-MCQ
33,کدام‌یک از موارد زیر از پل‌های قوسی موجود در ایران است؟ الف) پل طبیعت ب) پل پیاده روی ج) سی‌وسه پل د) پل تجن,Which of the following is an arch bridge located in Iran? A) Tabiat Bridge B) Pedestrian bridge C) Si-o-se Pol D) ُTajan bridge,C,MCQ,Atomic-MCQ
34,کدام‌یک از اشخاص زیر از ریاضی‌دانان ایرانی دوره سلجوقیان بوده است؟ الف) مریم میرزاخانی ب) کوچر بیرکار ج)منصور الخازنی  د) محسن هشترودی,Which of the following was an Iranian mathematician of the Seljuk period? A) Maryam Mirzakhani B) Caucher Birkar C) Al-Khazini D) Mohsen Hashtroodi,C,MCQ,Atomic-MCQ
35,کدام‌یک از اشخاص زیر از فیلسوفان ایرانی دوره سلجوقیان بوده است؟ الف) ملاصدرا ب) علامه طباطبایی ج) امام محمد غزالی د) مرتضی مطهری,Which of the following was an Iranian philosopher of the Seljuk period? A) Mulla Sadra B) Allameh Tabatabai C) Al-Ghazali D) Motahari,C,MCQ,Atomic-MCQ
36,کدام‌یک از اشخاص زیر از شاعران ایرانی دوره سلجوقیان بوده است؟ الف) نیما یوشیج ب) سعدی شیرازی ج) ناصرخسرو د) سهراب سپهری,Which of the following was an Iranian poet of the Seljuk period? A) Nima Yooshij B) Saadi shirazi C) Nasir Khusraw D) Sohrab Sepehri,C,MCQ,Atomic-MCQ
