question_id,domain,operator_types,num_logical_ops,reasoning_hops,operation_variety,logical_form,question_fa,question_en,template_fa,template_en,source,question_mode,sparql_query,notes,gold_wikidataids,gold_labels_en,gold_labels_fa,gold_display_label,answer_count,sheet_name
1,cinema,ATOMIC,0,1,0,cin_A,اصغر فرهادی چه فیلم‌هایی را کارگردانی کرده است؟,Which movies has Asghar Farhadi directed?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?movie ?movieLabel 
WHERE {
  ?movie wdt:P57 wd:Q334242;
         wdt:P31/wdt:P279* wd:Q11424.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en,fa"". }
}",-,Q640561;Q6357059;Q116235;Q134184074;Q18424573;Q1311890;Q1419056;Q22344480;Q2913918;Q37816911;Q105012394,A Separation;The Past;The Beautiful City;Parallel Tales;;About Elly;The Fireworks Wednesday;The Salesman;Dancing in the Dust;Everybody Knows;A Hero,جدایی نادر از سیمین;گذشته;شهر زیبا;داستانهای موازی;;درباره الی;چهارشنبهسوری;فروشنده;رقص در غبار;همه میدانند;قهرمان,A Separation;The Past;The Beautiful City;Parallel Tales;;About Elly;The Fireworks Wednesday;The Salesman;Dancing in the Dust;Everybody Knows;A Hero,11,Atomic
2,cinema,ATOMIC,0,1,0,cin_B,شهاب حسینی در چه فیلم‌هایی بازی کرده است؟,Which movies has Shahab Hosseini acted in?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?movie ?movieLabel 
WHERE {
  ?movie wdt:P161 wd:Q1800870;
         wdt:P31/wdt:P279* wd:Q11424.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en,fa"". }
}",-,Q640561;Q85974844;Q5677894;Q5863282;Q5583210;Q5765395;Q5951681;Q1311890;Q22344480;Q14755313;Q22001261;Q20110222;Q5685007;Q5703725;Q5727463;Q5803278;Q5866897;Q5866769;Q5886698;Q5905416;Q5956612;Q6461790;Q25424417;Q50385534;Q85966825;Q98726040,A Separation;Intoxicated by Love;;Africa;Goodbye;Mahya;The Superstar;About Elly;The Salesman;Ashghal-haye Doost-Dashtani;The Final Exam;Time of Love;The Candle in the Wind;;The Plum Garden;;A Walk in the Fog;The Snow On The Hot Roof;;Online Murder;The Fifth Reaction;The Painting Pool;My brother Khosrow;Nabat;The Night;Any Day Now,جدایی نادر از سیمین;مست عشق;تنگنا;آفریقا;به امید دیدار;محیا (فیلم);سوپر استار (فیلم);درباره الی;فروشنده;آشغالهای دوست داشتنی;امتحان نهایی;دوران عاشقی;شمعی در باد;پلیس جوان (مجموعه تلویزیونی);باغ آلوچه;تعبیرخواب (فیلم);پرسه در مه;برف روی شیروانی داغ;الهه زیگورات;قتل آنلاین;واکنش پنجم;حوض نقاشی;برادرم خسرو;نبات;آن شب;اولین برف,A Separation;Intoxicated by Love;تنگنا;Africa;Goodbye;Mahya;The Superstar;About Elly;The Salesman;Ashghal-haye Doost-Dashtani;The Final Exam;Time of Love;The Candle in the Wind;پلیس جوان (مجموعه تلویزیونی);The Plum Garden;تعبیرخواب (فیلم);A Walk in the Fog;The Snow On The Hot Roof;الهه زیگورات;Online Murder;The Fifth Reaction;The Painting Pool;My brother Khosrow;Nabat;The Night;Any Day Now,26,Atomic
3,cinema,ATOMIC,0,1,0,cin_C,گلشیفته فراهانی در چه فیلم‌هایی بازی کرده است؟,Which movies has Golshifteh Farahani acted in?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?movie ?movieLabel 
WHERE {
  ?movie wdt:P161 wd:Q464712;          
         wdt:P31/wdt:P279* wd:Q11424. 
  
  SERVICE wikibase:label { 
    bd:serviceParam wikibase:language ""en,fa"". 
  }
}",-,Q578312;Q531043;Q124100173;Q701124;Q5869637;Q4408105;Q5604823;Q5862980;Q4150897;Q10350033;Q14948398;Q14942871;Q978059;Q16219562;Q1302032;Q1311890;Q19857967;Q23817035;Q23759130;Q14755835;Q28793040;Q12902828;Q14755654;Q29408010;Q3473002;Q3482860;Q4837209;Q48759637;Q21427590;Q5868975;Q5877847;Q5943156;Q5944105;Q51822540;Q55597723;Q7379274;Q58814616;Q67761708;Q77447995;Q111622379;Q108690659;Q123181935;Q132192625;Q118187508;Q118368611,"Body of Lies;There Be Dragons;Hood Witch;Half Moon;The Wall;Shirin;The Patience Stone;The Era;The Pear Tree;Pirates of the Caribbean: Dead Men Tell no Tales;Rosewater;Exodus: Gods and Kings;Just like a Woman;Eden;Chicken with Plums;About Elly;Two Friends;Paterson;Altamira;Somewhere Else;The Upside;My Sweet Pepperland;The Shameless;Go Home;Santouri;If You Die, I'll Kill You;Bab'Aziz;The Night Eats the World;Sophie's Misfortunes;The Death Carnival;The Fishes Fall in Love;;The Tear of the Cold;Girls of the Sun;Shelter;Rumi's Kimia;Extraction;Arab Blues;Blind Spot;Brother and Sister;Extraction 2;William Tell;Alpha;Une comédie romantique;Reading Lolita in Tehran",یک مشت دروغ;جای اژدها;;نیوهمانگ;دیوار (فیلم ایرانی);شیرین;سنگ صبور;زمانه (فیلم);درخت گلابی;دزدان دریایی کاراییب: مردان مرده هیچ داستانی نمیگویند;گلاب (فیلم);خروج: خدایان و پادشاهان;درست مثل یک زن;عدن (فیلم ۲۰۱۴);خورش آلو با مرغ;درباره الی;دو دوست;پترسن;آلتامیرا;جایی دیگر;قسمت بالایی;سرزمین شیرین فلفلی من;گیس بریده;;سنتوری;اگر بمیری، میکشمت;بابا عزیز;ظلمت جهان را میبلعد;بدبیاریهای سوفی;کارناوال مرگ;ماهیها عاشق میشوند;همیشه پای یک زن در میان است;اشک سرما;دختران خورشید;;;داکا;کاناپه تونسی;;برادر و خواهر;استخراج ۲;ویلیام تل (فیلم ۲۰۲۴);آلفا;;لولیتاخوانی در تهران,"Body of Lies;There Be Dragons;Hood Witch;Half Moon;The Wall;Shirin;The Patience Stone;The Era;The Pear Tree;Pirates of the Caribbean: Dead Men Tell no Tales;Rosewater;Exodus: Gods and Kings;Just like a Woman;Eden;Chicken with Plums;About Elly;Two Friends;Paterson;Altamira;Somewhere Else;The Upside;My Sweet Pepperland;The Shameless;Go Home;Santouri;If You Die, I'll Kill You;Bab'Aziz;The Night Eats the World;Sophie's Misfortunes;The Death Carnival;The Fishes Fall in Love;همیشه پای یک زن در میان است;The Tear of the Cold;Girls of the Sun;Shelter;Rumi's Kimia;Extraction;Arab Blues;Blind Spot;Brother and Sister;Extraction 2;William Tell;Alpha;Une comédie romantique;Reading Lolita in Tehran",45,Atomic
4,cinema,ATOMIC,0,1,0,cin_D,بازیگران فیلم آژانس شیشه‌ای چه کسانی هستند؟,Which actors appeared in the film The Glass Agency?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?actor ?actorLabel WHERE {
  wd:Q5799936 wdt:P161 ?actor . 
  
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fa,en"". }
}",-,Q3367079;Q3428938;Q16047777;Q5914129;Q5920974;Q5953252;Q25424169;Q28712650;Q42533849;Q56364614,Parviz Parastui;Reza Kianian;Qasem Zareh;Bita Badran;Behrouz Shoeibi;Habib Rezaei;Asghar Naghizadeh;Mohammad Hatami;Mehrdad Fallahatgar;Farshid Zarei-Fard,پرویز پرستویی;رضا کیانیان;قاسم زارع;بیتا بادران;بهروز شعیبی;حبیب رضایی;اصغر نقیزاده;محمد حاتمی;مهرداد فلاحتگر;فرشید زارعیفرد,Parviz Parastui;Reza Kianian;Qasem Zareh;Bita Badran;Behrouz Shoeibi;Habib Rezaei;Asghar Naghizadeh;Mohammad Hatami;Mehrdad Fallahatgar;Farshid Zarei-Fard,10,Atomic
5,cinema,ATOMIC,0,1,0,cin_E,بازیگران فیلم درباره الی چه کسانی هستند؟,Which actors appeared in the film The About Elly?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?actor ?actorLabel WHERE {
  wd:Q1311890 wdt:P161 ?actor .  
  
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fa,en"". }
}",-,Q10325571;Q1800870;Q275637;Q340036;Q2893018;Q3306489;Q464712;Q4695409;Q20110374;Q7396039;Q104700992,Rana Azadivar;Shahab Hosseini;Taraneh Alidoosti;Mani Haghighi;Payman Maadi;Merila Zarei;Golshifteh Farahani;Ahmad Mehranfar;Seyyed Mohammad Sadati;Saber Abar;Hossein Rahmani Manesh,رعنا آزادیور;شهاب حسینی;ترانه علیدوستی;مانی حقیقی;پیمان معادی;مریلا زارعی;گلشیفته فراهانی;احمد مهرانفر;سيد محمد ساداتی;صابر ابر;حسین رحمانی منش,Rana Azadivar;Shahab Hosseini;Taraneh Alidoosti;Mani Haghighi;Payman Maadi;Merila Zarei;Golshifteh Farahani;Ahmad Mehranfar;Seyyed Mohammad Sadati;Saber Abar;Hossein Rahmani Manesh,11,Atomic
6,cinema,ATOMIC,0,1,0,cin_F,بازیگران جدایی نادر از سیمین چه کسانی هستند؟,Which actors appeared in the film The Separation?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?actor ?actorLabel WHERE {
  wd:Q640561 wdt:P161 ?actor .  
  
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fa,en"". }
}",-,Q1800870;Q255510;Q2893018;Q3306489;Q16048111;Q18684339;Q18684620;Q5938159;Q5940547;Q6410380,Shahab Hosseini;Leila Hatami;Payman Maadi;Merila Zarei;Babak Karimi;Kimia Hosseini;Ali-Asghar Shahbazi;Sarina Farhadi;Shirin Yazdanbakhsh;Sareh Bayat,شهاب حسینی;لیلا حاتمی;پیمان معادی;مریلا زارعی;بابک کریمی;کیمیا حسینی;علیاصغر شهبازی;سارینا فرهادی;شیرین یزدانبخش;ساره بیات,Shahab Hosseini;Leila Hatami;Payman Maadi;Merila Zarei;Babak Karimi;Kimia Hosseini;Ali-Asghar Shahbazi;Sarina Farhadi;Shirin Yazdanbakhsh;Sareh Bayat,10,Atomic
7,geography,ATOMIC,0,1,0,geo_A,کدام شهرهای ایران مرکز استان هستند؟,Which cities are provincial capitals in Iran?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?city ?cityLabel WHERE {
  ?province wdt:P31/wdt:P279* wd:Q1344695;  # province of Iran
            wdt:P17 wd:Q794;             # in country Iran
            wdt:P36 ?city.               # capital (city)

  SERVICE wikibase:label { 
    bd:serviceParam wikibase:language ""en,fa"". 
  }
}",-,Q168843;Q188155;Q193806;Q80053;Q121157;Q180103;Q181578;Q182394;Q212628;Q6397066;Q179665;Q146699;Q272093;Q499470;Q158928;Q140561;Q154814;Q171714;Q170366;Q170573;Q178373;Q180078;Q203045;Q502212;Q317946;Q383129;Q386649;Q3616;Q42053;Q28587;Q36529,Sari;Gorgan;Birjand;Tabriz;Mashhad;Ardabil;Qazvin;Yazd;Arak;Shiraz;Urmia;Zanjan;Sanandaj;Ilam;Bushehr;Zahedan;Bandar Abbas;Kerman;Ahvaz;Qom;Rasht;Kermanshah;Semnan;Khorramabad;Bojnord;Yasuj;Shahr-e Kord;Tehran;Isfahan;Hamadan;Karaj,ساری;گرگان;بیرجند;تبریز;مشهد;اردبیل;قزوین;یزد;اراک;شیراز;ارومیه;زنجان;سنندج;ایلام;بندر بوشهر;زاهدان;بندرعباس;کرمان;اهواز;قم;رشت;کرمانشاه;سمنان;خرمآباد;بجنورد;یاسوج;شهرکرد;تهران;اصفهان;همدان;کرج,Sari;Gorgan;Birjand;Tabriz;Mashhad;Ardabil;Qazvin;Yazd;Arak;Shiraz;Urmia;Zanjan;Sanandaj;Ilam;Bushehr;Zahedan;Bandar Abbas;Kerman;Ahvaz;Qom;Rasht;Kermanshah;Semnan;Khorramabad;Bojnord;Yasuj;Shahr-e Kord;Tehran;Isfahan;Hamadan;Karaj,31,Atomic
8,geography,ATOMIC,0,1,0,geo_B,کدام شهرهای ایران حداقل یک دانشگاه دارند؟,Which cities in Iran have at least one university?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?city ?cityLabel WHERE {
  ?univ wdt:P31/wdt:P279* wd:Q3918;       # university
        wdt:P131 ?city.                  # located in city

  ?city wdt:P31/wdt:P279* wd:Q515;       # city
        wdt:P17 wd:Q794.                 # in Iran

  SERVICE wikibase:label {
    bd:serviceParam wikibase:language ""en,fa"".
  }
}",-,Q331078;Q188155;Q193806;Q106636;Q181578;Q182394;Q240475;Q1020637;Q606564;Q645855;Q179665;Q721198;Q721034;Q146699;Q272093;Q499470;Q140561;Q154814;Q170366;Q178373;Q180078;Q605157;Q203045;Q1975291;Q605142;Q383129;Q386649;Q643172;Q720937;Q765553;Q765528;Q862105;Q3616;Q42053;Q28587;Q63049;Q636188;Q168843;Q131350;Q212628;Q911727;Q158928;Q171714;Q605209;Q502212;Q605454;Q317946;Q605224;Q967688,Amol;Gorgan;Birjand;Bam;Qazvin;Yazd;Kashan;Jahrom;Bukan;Astara;Urmia;Najafabad;Fasa;Zanjan;Sanandaj;Ilam;Zahedan;Bandar Abbas;Ahvaz;Rasht;Kermanshah;Babol;Semnan;Gonbad-e Kavus;Dezful;Yasuj;Shahr-e Kord;Masjed Soleiman;Qaem Shahr;Sabzevar;Torbat-e Heydarieh;Shahin Shahr;Tehran;Isfahan;Hamadan;Abadan;Ray;Sari;Nishapur;Arak;Ahar;Bushehr;Kerman;Malayer;Khorramabad;Borujerd;Bojnord;Sirjan;Robat Karim,آمل;گرگان;بیرجند;بم;قزوین;یزد;کاشان;جهرم;بوکان;آستارا;ارومیه;نجفآباد;فسا;زنجان;سنندج;ایلام;زاهدان;بندرعباس;اهواز;رشت;کرمانشاه;بابل;سمنان;گنبد کاووس;دزفول;یاسوج;شهرکرد;مسجدسلیمان;قائمشهر;سبزوار;تربت حیدریه;شاهینشهر;تهران;اصفهان;همدان;آبادان;شهر ری;ساری;نیشابور;اراک;اهر;بندر بوشهر;کرمان;ملایر;خرمآباد;بروجرد;بجنورد;سیرجان;رباطکریم,Amol;Gorgan;Birjand;Bam;Qazvin;Yazd;Kashan;Jahrom;Bukan;Astara;Urmia;Najafabad;Fasa;Zanjan;Sanandaj;Ilam;Zahedan;Bandar Abbas;Ahvaz;Rasht;Kermanshah;Babol;Semnan;Gonbad-e Kavus;Dezful;Yasuj;Shahr-e Kord;Masjed Soleiman;Qaem Shahr;Sabzevar;Torbat-e Heydarieh;Shahin Shahr;Tehran;Isfahan;Hamadan;Abadan;Ray;Sari;Nishapur;Arak;Ahar;Bushehr;Kerman;Malayer;Khorramabad;Borujerd;Bojnord;Sirjan;Robat Karim,49,Atomic
9,geography,ATOMIC,0,1,0,geo_C,کدام شهرهای ایران حداقل یک موزه دارند؟,Which cities in Iran have at least one museum?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?city ?cityLabel WHERE {
  ?museum wdt:P31/wdt:P279* wd:Q33506;    # museum
          wdt:P131 ?city.                # located in city

  ?city wdt:P31/wdt:P279* wd:Q515;        # city
        wdt:P17 wd:Q794.                 # in Iran

  SERVICE wikibase:label {
    bd:serviceParam wikibase:language ""en,fa"".
  }
}",-,Q188155;Q1020637;Q179665;Q146699;Q180078;Q3616;Q42053;Q28587;Q63049,Gorgan;Jahrom;Urmia;Zanjan;Kermanshah;Tehran;Isfahan;Hamadan;Abadan,گرگان;جهرم;ارومیه;زنجان;کرمانشاه;تهران;اصفهان;همدان;آبادان,Gorgan;Jahrom;Urmia;Zanjan;Kermanshah;Tehran;Isfahan;Hamadan;Abadan,9,Atomic
10,geography,ATOMIC,0,1,0,geo_D,کدام رودخانه‌های ایران طول آن‌ها بیش از ۱۰۰ کیلومتر است؟,Which rivers in Iran have a length greater than 100 km?,کدام [نوع_مورد] [شرط_A]؟,Which [ITEM_TYPE] [COND_A]?,wikidata,open-ended,"SELECT DISTINCT ?river ?riverLabel ?length WHERE {
  ?river wdt:P31 wd:Q4022 ;       
         wdt:P17 wd:Q794 ;       
         wdt:P2043 ?length .     
  
  FILTER(?length > 100)         
  
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],fa,en"". }
}",-,Q5872598;Q608191;Q796777;Q1472376;Q5902862;Q2750065;Q1248920;Q304413;Q10322784;Q5669731;Q5682045;Q3773325;Q96276816;Q283188;Q283245;Q283622;Q166966;Q167814;Q8510;Q1430986;Q2562670;Q461557;Q179751;Q2121402;Q4143776;Q85971276;Q20576416;Q20583371;Q3437153;Q3491100;Q21076326;Q8505;Q5769021;Q7516332;Q1207296;Q4507060;Q12645787;Q18520774;Q1734839;Q1728885;Q7572056;Q954645;Q5670159;Q5711455,Simineh River;Sumbar River;Qom River;Karkheh River;Hableh River;Alwand River;Halil River;Diyala River;Hari River;Mazlaqan River;Rudbal River;Talkheh River;Doiraj River;Zangmar River;Seimare River;Atrek River;Shatt al-Arab;Zayandeh River;Helmand River;Sefid Rud;Shahrud River;Karun River;Aras River;;Gorganrud;;Cığatu;Qotur River;Marun River;Bolgarchay River;;Hari River;Kor River;Zarrineh River;Dez River;Chandyr River;Zohreh River;Qezel Uzan;Kashafrud River;Karaj River;Haraz River;Little Zab;Tajan River;Shur River (Namak Lake),سیمینهرود;سومبار;رودخانه قمرود;کرخه;حبلهرود;الوند;هلیلرود;رود سیروان;تجن (رودخانه);رودخانه مزلقان;رودخانه رودبال;تلخهرود;رودخانه تله ری;رود زنگمار;سیمره;اترک;اروندرود;زایندهرود;هیرمند;سفیدرود;شاهرود;کارون;ارس;;گرگانرود;رود تنگوئیه;;رود قطور;مارون;بالهارود;;هریرود;کر;زرینهرود;دز;رود چاندیر;رودخانه زهره (هندیجان);قزلاوزن;کشفرود;کرج;رودخانه هراز;زاب کوچک;تجن (رود);رودخانه شور (اشتهارد),Simineh River;Sumbar River;Qom River;Karkheh River;Hableh River;Alwand River;Halil River;Diyala River;Hari River;Mazlaqan River;Rudbal River;Talkheh River;Doiraj River;Zangmar River;Seimare River;Atrek River;Shatt al-Arab;Zayandeh River;Helmand River;Sefid Rud;Shahrud River;Karun River;Aras River;;Gorganrud;رود تنگوئیه;Cığatu;Qotur River;Marun River;Bolgarchay River;;Hari River;Kor River;Zarrineh River;Dez River;Chandyr River;Zohreh River;Qezel Uzan;Kashafrud River;Karaj River;Haraz River;Little Zab;Tajan River;Shur River (Namak Lake),44,Atomic
